personId,billingYear,treatmentDate,treatmentCode,treatmentAmount
73074645,201801,201801,100503,3288
74227902,201911,201911,100703,786.42
73044820,201902,201902,100503,3059
10143738,201812,201812,100503,3675
74227902,201903,201903,100503,3334
72911714,201911,201911,100703,1126.14
72893833,201811,201811,100503,2864
72955864,201812,201812,100503,3235
73206439,201812,201812,100503,3383
73044820,201911,201911,100503,3059
73018333,201812,201812,100503,3076
73041860,201902,201902,100503,3054
72905779,201805,201805,100503,3672
73706774,201901,201901,100503,2934
73206439,201811,201811,100503,3383
10143738,201901,201901,100503,3675
73044820,201806,201806,100703,456.25
10143738,201805,201805,100703,496.1
73033817,201806,201806,100703,466.89
72892796,201805,201805,100503,3265
72893833,201810,201810,100703,530.56
72980808,201805,201805,100503,3281
73206439,201901,201901,100503,3383
73018333,201810,201810,100703,620.17
73206439,201810,201810,100703,677.43
74227902,201810,201810,100703,610.93
73401992,201806,201806,100703,463.79
73706774,201806,201806,100703,429.92
74020397,201806,201806,100703,398.64
73401992,201810,201810,100703,619.4
72905779,201810,201810,100503,3672
72911714,201812,201812,100503,5285
74227902,201911,201911,100503,3334
72955864,201809,201809,100703,696.79
72892796,201811,201811,100503,3265
73206439,201909,201909,100703,879.38
73079769,201806,201806,100703,392.27
72911714,202006,202006,100503,4884
72905779,201809,201809,100703,721.83
72892796,202007,202007,100503,3265
73018333,201808,201808,100703,620.17
73033817,201908,201908,100703,828.81
73018333,201805,201805,100703,460.9
74227902,201908,201908,100703,786.42
72893833,201808,201808,100703,530.56
73033817,201809,201809,100703,637.1
73018333,201809,201809,100703,620.17
72892796,201808,201808,100703,658.62
73041860,201806,201806,100703,453.77
73706774,201904,201904,100703,577.06
73044820,201905,201905,100703,621.81
72893833,201904,201904,100703,530.56
10143738,201803,201803,100503,3482
72955864,201804,201804,100503,3235
73206439,201808,201808,100703,677.43
10143738,201804,201804,100703,496.1
74335730,201905,201905,100703,13722.7
72892796,201905,201905,100503,3265
73401992,201907,201907,100703,1239.35
72905779,201804,201804,100503,3672
74227902,201905,201905,100703,610.93
72911714,201905,201905,100503,5285
73401992,201808,201808,100703,619.4
72893833,201910,201910,100503,2864
72905779,201806,201806,100703,540.37
72892796,201910,201910,100503,3265
73706774,201808,201808,100703,577.06
72905779,201910,201910,100703,928.31
73079769,201804,201804,100503,2186
74020397,201804,201804,100503,3021
72892796,201812,201812,100703,658.62
73706774,201812,201812,100703,577.06
73073780,201804,201804,100503,3147
73044820,201909,201909,100703,812.54
73041860,201909,201909,100703,807.66
73074645,201804,201804,100503,3288
73079769,201805,201805,100503,2186
73401992,201807,201807,100703,463.79
72893833,201903,201903,100703,530.56
72911714,201807,201807,100703,659.12
73206439,201905,201905,100703,677.43
72892796,201908,201908,100703,850.56
74335730,201908,201908,100703,908.01
72893833,201812,201812,100703,530.56
73041860,201903,201903,100703,618.15
74020397,201905,201905,100703,563.95
74020397,201903,201903,100703,563.95
72905779,201909,201909,100703,928.31
73073780,201805,201805,100503,3147
73074645,201805,201805,100503,3288
73033817,201804,201804,100503,3043
73206439,201903,201903,100703,677.43
74020397,201906,201906,100503,3211
73041860,201805,201805,100503,2874
73206439,201809,201809,100703,677.43
73706774,201809,201809,100703,577.06
72911714,201805,201805,100503,5285
74227902,201805,201805,100503,3334
73033817,201812,201812,100703,637.1
74020397,201809,201809,100703,563.95
74227902,201906,201906,100703,610.93
74335730,201909,201909,100703,523.45
73044820,201903,201903,100703,621.81
72892796,201802,201802,100703,489.28
73044820,201805,201805,100503,2880
10143738,201812,201812,100703,672.64
72905779,201805,201805,100703,540.37
73706774,201906,201906,100503,2934
72911714,201908,201908,100703,1126.14
72893833,201908,201908,100703,696.46
72892796,201809,201809,100703,658.62
72892796,201906,201906,100503,3265
72905779,201905,201905,100703,721.83
73706774,201901,201901,100703,577.06
73401992,201905,201905,100703,619.4
74227902,202001,202001,100503,3334
73206439,201812,201812,100703,677.43
72893833,201802,201802,100703,384.34
72905779,201906,201906,100503,3672
74335730,201907,201907,100703,88.93
